,0,1,2,3,4,5,6,7,8,9,10
106,S0107644,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
107,S0107646,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
108,S0107648,패스트푸드,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503215066,평화로
109,S0107649,패스트푸드,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411503215066,평화로
110,S0107655,회,4117310400,경기도,안양시 동안구,호계동,\N,4117361000,범계동,411734349201,평촌대로223번길
111,S0107656,회,4117310400,경기도,안양시 동안구,호계동,\N,4117361000,범계동,411734349201,평촌대로223번길
112,S0107657,돈까스/일식,4715010800,경상북도,김천시,신음동,\N,4715057500,대신동,471503306048,시청로
113,S0107658,돈까스/일식,4715010800,경상북도,김천시,신음동,\N,4715057500,대신동,471503306048,시청로
114,S0107659,돈까스/일식,4715010800,경상북도,김천시,신음동,\N,4715057500,대신동,471503306048,시청로
115,S0107660,돈까스/일식,4715010800,경상북도,김천시,신음동,\N,4715057500,대신동,471503306048,시청로
116,S0107661,돈까스/일식,1154510300,서울특별시,금천구,시흥동,\N,1154567000,시흥1동,115454151073,독산로25길
117,S0107662,중식,4122025321,경기도,평택시,안중읍,안중리,4122025300,안중읍,412203188011,덕우로
118,S0107663,돈까스/일식,4125010300,경기도,동두천시,생연동,\N,4125052000,생연2동,412503189002,거북마루로
119,S0107665,카페/디저트,4817013100,경상남도,진주시,가좌동,\N,4817074000,가호동,481704797340,진주대로568번길
120,S0107666,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
121,S0107667,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
122,S0107668,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
123,S0107670,돈까스/일식,4125010300,경기도,동두천시,생연동,\N,4125052000,생연2동,412503189012,생연로
124,S0107671,찜탕,4413125033,충청남도,천안시 동남구,목천읍,신계리,4413125000,목천읍,441314547699,천정1길
125,S0107676,치킨,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,\N,\N
126,S0107677,치킨,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,\N,\N
127,S0107678,치킨,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,\N,\N
128,S0107680,중식,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411503181050,충의로
129,S0107681,중식,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411503181050,충의로
130,S0107682,치킨,4421010100,충청남도,서산시,읍내동,\N,4421051000,부춘동,442103254105,안견로
131,S0107684,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503181062,태평로
132,S0107685,돈까스/일식,4139010200,경기도,시흥시,신천동,\N,4139052000,신천동,413904397372,수인로3335번길
133,S0107688,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343194,승지로4번길
134,S0107689,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343194,승지로4번길
135,S0107690,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343538,용민로182번길
136,S0107692,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
137,S0107695,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
138,S0107697,야식,4128110600,경기도,고양시 덕양구,성사동,\N,4128154000,성사1동,412812192001,고양대로
139,S0107698,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471503306020,시민로
140,S0107699,돈까스/일식,4119010700,경기도,부천시,역곡동,\N,4119060600,부천동,411903184012,역곡로
141,S0107703,돈까스/일식,4117110100,경기도,안양시 만안구,안양동,\N,4117152000,안양2동,411714346200,안양로324번길
142,S0107704,돈까스/일식,4117110100,경기도,안양시 만안구,안양동,\N,4117152000,안양2동,411714346200,안양로324번길
143,S0107707,회,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718423,부곡맛고을1길
144,S0107712,돈까스/일식,4715010800,경상북도,김천시,신음동,\N,4715057500,대신동,471504718551,시청2길
145,S0107713,돈까스/일식,4119011300,경기도,부천시,괴안동,\N,4119079500,범안동,411903000027,범안로
146,S0107714,돈까스/일식,4119011300,경기도,부천시,괴안동,\N,4119079500,범안동,411903000027,범안로
147,S0107715,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
148,S0107717,돈까스/일식,2823710100,인천광역시,부평구,부평동,\N,2823751000,부평1동,282374262024,경원대로1347번길
149,S0107718,돈까스/일식,2823710100,인천광역시,부평구,부평동,\N,2823751000,부평1동,282374262024,경원대로1347번길
150,S0107723,카페/디저트,4817010400,경상남도,진주시,칠암동,\N,4817051500,천전동,481704797354,진주대로920번길
151,S0107726,야식,4817012000,경상남도,진주시,하대동,\N,4817067800,하대동,481703332016,도동로
152,S0107727,한식,4817010400,경상남도,진주시,칠암동,\N,4817051500,천전동,481703332077,동진로
153,S0107729,회,4817011700,경상남도,진주시,장대동,\N,4817056500,중앙동,481704797247,진양호로570번길
154,S0107730,한식,4817011900,경상남도,진주시,상대동,\N,4817067300,상대동,481704796317,대신로291번길
155,S0107731,회,4817011700,경상남도,진주시,장대동,\N,4817056500,중앙동,481704797509,촉석로212번길
156,S0107732,도시락,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411504343164,부용로95번길
157,S0107735,야식,4122037025,경기도,평택시,현덕면,인광리,4122037000,현덕면,412203350992,송담1로
158,S0107736,야식,4122037025,경기도,평택시,현덕면,인광리,4122037000,현덕면,412203350992,송담1로
159,S0107737,카페/디저트,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411503181033,오목로
160,S0107738,카페/디저트,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411503181033,오목로
161,S0107739,돈까스/일식,4715010800,경상북도,김천시,신음동,\N,4715057500,대신동,471504718421,부거리길
162,S0107740,족발/보쌈,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411504343353,추동로5번길
163,S0107741,한식,4127110400,경기도,안산시 상록구,본오동,\N,4127155000,본오2동,412713190003,각골로
164,S0107743,치킨,4121010300,경기도,광명시,하안동,\N,4121063100,하안1동,412104361207,안재로6번길
165,S0107745,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181033,오목로
166,S0107746,카페/디저트,1154510300,서울특별시,금천구,시흥동,\N,1154567000,시흥1동,115452005010,시흥대로
167,S0107749,야식,4715010500,경상북도,김천시,평화동,\N,4715053600,평화남산동,471504718889,평화장미길
168,S0107750,야식,4715010500,경상북도,김천시,평화동,\N,4715053600,평화남산동,471504718889,평화장미길
169,S0107751,야식,4715010500,경상북도,김천시,평화동,\N,4715053600,평화남산동,471504718889,평화장미길
170,S0107752,야식,4715010500,경상북도,김천시,평화동,\N,4715053600,평화남산동,471504718889,평화장미길
171,S0107753,야식,4715010500,경상북도,김천시,평화동,\N,4715053600,평화남산동,471504718889,평화장미길
172,S0107754,야식,4715010500,경상북도,김천시,평화동,\N,4715053600,평화남산동,471504718889,평화장미길
